,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
131,1533-1674,Red,Maokai,Lee Sin,Jayce,Sivir,Malzahar,Rengar,Camille,Kha'Zix,Fiora,Kennen,1
132,1533-1675,Blue,Maokai,Lee Sin,Ekko,Jhin,Malzahar,Kha'Zix,Kennen,Camille,Cassiopeia,Corki,1
133,1533-1675,Red,Fiora,Rek'Sai,Syndra,Varus,Miss Fortune,LeBlanc,Rengar,Shen,Graves,Ryze,0
134,1534-1676,Blue,Nautilus,Graves,Varus,Ziggs,Lulu,Elise,LeBlanc,Kha'Zix,Syndra,Jayce,0
135,1534-1676,Red,Maokai,Lee Sin,Orianna,Jhin,Malzahar,Camille,Shen,Rengar,Zyra,Tahm Kench,1
136,1534-1677,Blue,Camille,Rek'Sai,Cassiopeia,Ashe,Zyra,Malzahar,Ryze,Kha'Zix,Orianna,Varus,1
137,1534-1677,Red,Maokai,Elise,Corki,Caitlyn,Tahm Kench,LeBlanc,Rengar,Lee Sin,Syndra,Jhin,0
138,1535-1678,Blue,Jayce,Elise,Syndra,Varus,Miss Fortune,Caitlyn,Sivir,Kha'Zix,Ashe,Ezreal,1
139,1535-1678,Red,Shen,Ivern,Orianna,Twitch,Malzahar,Camille,LeBlanc,Rengar,Ryze,Zyra,0
140,1535-1679,Blue,Shen,Kha'Zix,Azir,Jhin,Zyra,Varus,Jayce,LeBlanc,Elise,Maokai,0
141,1535-1679,Red,Rumble,Rek'Sai,Ryze,Sivir,Malzahar,Caitlyn,Camille,Rengar,Orianna,Syndra,1
142,1536-1757,Blue,Maokai,Elise,Talon,Ashe,Lulu,Malzahar,Rengar,LeBlanc,Gragas,Ryze,0
143,1536-1757,Red,Nautilus,Graves,Cassiopeia,Ezreal,Karma,Varus,Jhin,Camille,Thresh,Orianna,1
144,1536-1758,Blue,Maokai,Graves,Syndra,Jhin,Karma,Orianna,Camille,Malzahar,Fiora,Kennen,1
145,1536-1758,Red,Gragas,Kha'Zix,Ryze,Sivir,Zyra,Rengar,LeBlanc,Varus,Miss Fortune,Cassiopeia,0
146,1537-1759,Blue,Nautilus,Nidalee,Jayce,Ashe,Zyra,Ryze,Camille,Kha'Zix,Orianna,Jhin,1
147,1537-1759,Red,Maokai,Graves,Syndra,Sivir,Malzahar,LeBlanc,Rengar,Varus,Cassiopeia,Elise,0
148,1537-1762,Blue,Shen,Rengar,Orianna,Ashe,Tahm Kench,LeBlanc,Zyra,Jayce,Cassiopeia,Syndra,0
149,1537-1762,Red,Gangplank,Kha'Zix,Corki,Jhin,Malzahar,Camille,Ryze,Varus,Miss Fortune,Lulu,1
150,1538-1767,Blue,Rumble,Graves,Corki,Jhin,Thresh,LeBlanc,Jayce,Camille,Cassiopeia,Ryze,1
151,1538-1767,Red,Maokai,Kha'Zix,Syndra,Ezreal,Karma,Malzahar,Varus,Rengar,Zyra,Orianna,0
152,1538-1769,Blue,Camille,Kha'Zix,Syndra,Ashe,Lulu,Rumble,Graves,Rengar,Elise,Corki,1
153,1538-1769,Red,Gragas,Lee Sin,Ekko,Jhin,Malzahar,LeBlanc,Varus,Jayce,Ryze,Cassiopeia,0
154,1538-1771,Blue,Rumble,Lee Sin,Orianna,Caitlyn,Karma,LeBlanc,Jayce,Camille,Ryze,Syndra,0
155,1538-1771,Red,Maokai,Kha'Zix,Zed,Ashe,Nami,Graves,Varus,Rengar,Elise,Rek'Sai,1
156,1539-1772,Blue,Shen,Kha'Zix,Orianna,Varus,Zyra,Ryze,Camille,Jayce,Rumble,Gangplank,0
157,1539-1772,Red,Maokai,Rengar,Corki,Jhin,Malzahar,Syndra,LeBlanc,Graves,Miss Fortune,Lulu,1
158,1539-1773,Blue,Rumble,Rengar,Orianna,Jhin,Braum,Syndra,Graves,Jayce,Maokai,Thresh,0
159,1539-1773,Red,Gragas,Kha'Zix,Ryze,Varus,Karma,Camille,Malzahar,LeBlanc,Tahm Kench,Shen,1
160,1539-1776,Blue,Maokai,Kha'Zix,Ryze,Ezreal,Karma,Jayce,Malzahar,Camille,Kled,Tahm Kench,1
161,1539-1776,Red,Shen,Rengar,Cassiopeia,Varus,Miss Fortune,Syndra,LeBlanc,Graves,Caitlyn,Jhin,0
162,1540-1777,Blue,Camille,Graves,Ryze,Caitlyn,Lulu,Malzahar,Maokai,LeBlanc,Nautilus,Darius,0
163,1540-1777,Red,Renekton,Rengar,Orianna,Varus,Tahm Kench,Rumble,Jayce,Shen,Syndra,Sivir,1
164,1540-1778,Blue,Nautilus,Kha'Zix,Ryze,Varus,Zyra,Rumble,Jayce,Shen,Syndra,Olaf,1
165,1540-1778,Red,Maokai,Ivern,Cassiopeia,Sivir,Malzahar,Camille,Rengar,Graves,Orianna,Tahm Kench,0
166,1541-1779,Blue,Nautilus,Graves,Syndra,Jhin,Malzahar,Jayce,LeBlanc,Rengar,Elise,Nidalee,1
167,1541-1779,Red,Maokai,Lee Sin,Katarina,Ashe,Zyra,Camille,Varus,Kha'Zix,Ryze,Orianna,0
168,1541-1780,Blue,Gangplank,Rengar,Syndra,Jhin,Karma,Malzahar,Graves,Camille,Ryze,Orianna,0
169,1541-1780,Red,Maokai,Gragas,Zed,Varus,Lulu,Jayce,LeBlanc,Kha'Zix,Shen,Nautilus,1
170,1542-1781,Blue,Shen,Graves,Orianna,Varus,Nami,Zyra,Malzahar,Maokai,Thresh,Nautilus,1
171,1542-1781,Red,Rumble,Lee Sin,Ryze,Jhin,Lulu,Karma,Camille,Rengar,LeBlanc,Tahm Kench,0
172,1542-1782,Blue,Maokai,Graves,LeBlanc,Caitlyn,Nami,Karma,Camille,Varus,Tahm Kench,Ryze,0
173,1542-1782,Red,Shen,Lee Sin,Vladimir,Jhin,Braum,Malzahar,Zyra,Rengar,Thresh,Lulu,1
174,1543-1783,Blue,Kled,Kha'Zix,Ryze,Caitlyn,Malzahar,Rumble,Gragas,Maokai,Orianna,Syndra,1
175,1543-1783,Red,Shen,Rengar,Corki,Varus,Lulu,LeBlanc,Jayce,Camille,Gangplank,Renekton,0
176,1543-1784,Blue,Renekton,Graves,Ekko,Caitlyn,Lulu,LeBlanc,Jayce,Varus,Kled,Maokai,1
177,1543-1784,Red,Camille,Elise,Ryze,Jhin,Malzahar,Karma,Gragas,Syndra,Orianna,Rumble,0
178,1543-1785,Blue,Rumble,Kha'Zix,Orianna,Jhin,Malzahar,Gragas,Caitlyn,Sivir,Corki,None,1
179,1543-1785,Red,Maokai,Graves,Zed,Varus,Zyra,Ryze,Jayce,LeBlanc,Kled,Camille,0
180,1544-1786,Blue,Camille,Gragas,Ekko,Caitlyn,Nami,Graves,Jayce,Kha'Zix,Renekton,Fiora,0
181,1544-1786,Red,Shen,Elise,Syndra,Ezreal,Karma,Varus,LeBlanc,Rengar,Malzahar,Tahm Kench,1
182,1544-1787,Blue,Gragas,Rengar,Syndra,Tristana,Karma,Maokai,Kha'Zix,Elise,Tahm Kench,Jhin,1
183,1544-1787,Red,Camille,Graves,Corki,Ashe,Malzahar,Shen,Varus,LeBlanc,Ezreal,Caitlyn,0
184,1545-1809,Blue,Kled,Graves,Orianna,Ezreal,Lulu,Varus,LeBlanc,Shen,Ekko,Jhin,0
185,1545-1809,Red,Maokai,Lee Sin,Syndra,Sivir,Malzahar,Ivern,Jayce,Ryze,Rumble,Caitlyn,1
186,1545-1810,Blue,Shen,Graves,Zed,Ziggs,Zyra,Ivern,Jayce,Ryze,Orianna,Vladimir,1
187,1545-1810,Red,Rumble,Lee Sin,Lissandra,Jhin,Karma,Varus,LeBlanc,Malzahar,Syndra,Cassiopeia,0
188,1546-1811,Blue,Camille,Kha'Zix,LeBlanc,Ezreal,Braum,Malzahar,Elise,Ryze,Fiora,Shen,1
189,1546-1811,Red,Renekton,Lee Sin,Syndra,Jhin,Karma,Varus,Graves,Rengar,Lulu,Nami,0
190,1546-1812,Blue,Gragas,Rengar,Ekko,Ezreal,Karma,Malzahar,LeBlanc,Shen,Ahri,Cassiopeia,1
