Champion,counters champ,champ counters
fizz,"('Zeri', 50)","(""Kai'Sa"", 58)"
fizz,"('Jinx', 51)","('Twitch', 58)"
karthus,"('Sivir', 47)","('Aphelios', 56)"
karthus,"('Smolder', 48)","('Draven', 56)"
karthus,"('Xayah', 50)","('Samira', 58)"
karthus,"('Zeri', 50)","(""Kai'Sa"", 58)"
karthus,"('Jinx', 51)","('Twitch', 58)"
kindred,"('Sivir', 47)","('Aphelios', 56)"
kindred,"('Smolder', 48)","('Draven', 56)"
kindred,"('Xayah', 50)","('Samira', 58)"
kindred,"('Zeri', 50)","(""Kai'Sa"", 58)"
kindred,"('Jinx', 51)","('Twitch', 58)"
lissandra,"('Sivir', 47)","('Aphelios', 56)"
lissandra,"('Smolder', 48)","('Draven', 56)"
lissandra,"('Xayah', 50)","('Samira', 58)"
lissandra,"('Zeri', 50)","(""Kai'Sa"", 58)"
lissandra,"('Jinx', 51)","('Twitch', 58)"
maokai,"('Sivir', 47)","('Aphelios', 56)"
maokai,"('Smolder', 48)","('Draven', 56)"
maokai,"('Xayah', 50)","('Samira', 58)"
maokai,"('Zeri', 50)","(""Kai'Sa"", 58)"
maokai,"('Jinx', 51)","('Twitch', 58)"
taliyah,"('Sivir', 47)","('Aphelios', 56)"
taliyah,"('Smolder', 48)","('Draven', 56)"
taliyah,"('Xayah', 50)","('Samira', 58)"
taliyah,"('Zeri', 50)","(""Kai'Sa"", 58)"
taliyah,"('Jinx', 51)","('Twitch', 58)"
trundle,"('Sivir', 47)","('Aphelios', 56)"
trundle,"('Smolder', 48)","('Draven', 56)"
trundle,"('Xayah', 50)","('Samira', 58)"
trundle,"('Zeri', 50)","(""Kai'Sa"", 58)"
trundle,"('Jinx', 51)","('Twitch', 58)"
zoe,"('Sivir', 47)","('Aphelios', 56)"
zoe,"('Smolder', 48)","('Draven', 56)"
zoe,"('Xayah', 50)","('Samira', 58)"
zoe,"('Zeri', 50)","(""Kai'Sa"", 58)"
zoe,"('Jinx', 51)","('Twitch', 58)"
belveth,"('Sivir', 47)","('Aphelios', 56)"
belveth,"('Smolder', 48)","('Draven', 56)"
belveth,"('Xayah', 50)","('Samira', 58)"
belveth,"('Zeri', 50)","(""Kai'Sa"", 58)"
belveth,"('Jinx', 51)","('Twitch', 58)"
qiyana,"('Sivir', 47)","('Aphelios', 56)"
qiyana,"('Smolder', 48)","('Draven', 56)"
qiyana,"('Xayah', 50)","('Samira', 58)"
qiyana,"('Zeri', 50)","(""Kai'Sa"", 58)"
qiyana,"('Jinx', 51)","('Twitch', 58)"
rammus,"('Sivir', 47)","('Aphelios', 56)"
rammus,"('Smolder', 48)","('Draven', 56)"
rammus,"('Xayah', 50)","('Samira', 58)"
rammus,"('Zeri', 50)","(""Kai'Sa"", 58)"
rammus,"('Jinx', 51)","('Twitch', 58)"
renata-glasc,"('Sivir', 47)","('Aphelios', 56)"
renata-glasc,"('Smolder', 48)","('Draven', 56)"
renata-glasc,"('Xayah', 50)","('Samira', 58)"
renata-glasc,"('Zeri', 50)","(""Kai'Sa"", 58)"
renata-glasc,"('Jinx', 51)","('Twitch', 58)"
shyvana,"('Sivir', 47)","('Aphelios', 56)"
shyvana,"('Smolder', 48)","('Draven', 56)"
shyvana,"('Xayah', 50)","('Samira', 58)"
shyvana,"('Zeri', 50)","(""Kai'Sa"", 58)"
shyvana,"('Jinx', 51)","('Twitch', 58)"
ziggs,"('Sivir', 47)","('Aphelios', 56)"
ziggs,"('Smolder', 48)","('Draven', 56)"
ziggs,"('Xayah', 50)","('Samira', 58)"
ziggs,"('Zeri', 50)","(""Kai'Sa"", 58)"
ziggs,"('Jinx', 51)","('Twitch', 58)"
ivern,"('Sivir', 47)","('Aphelios', 56)"
ivern,"('Smolder', 48)","('Draven', 56)"
ivern,"('Xayah', 50)","('Samira', 58)"
ivern,"('Zeri', 50)","(""Kai'Sa"", 58)"
ivern,"('Jinx', 51)","('Twitch', 58)"
reksai,"('Sivir', 47)","('Aphelios', 56)"
reksai,"('Smolder', 48)","('Draven', 56)"
reksai,"('Xayah', 50)","('Samira', 58)"
reksai,"('Zeri', 50)","(""Kai'Sa"", 58)"
reksai,"('Jinx', 51)","('Twitch', 58)"
ezreal,"('Sivir', 47)","('Aphelios', 56)"
ezreal,"('Smolder', 48)","('Draven', 56)"
ezreal,"('Xayah', 50)","('Samira', 58)"
ezreal,"('Zeri', 50)","(""Kai'Sa"", 58)"
ezreal,"('Jinx', 51)","('Twitch', 58)"
caitlyn,"('Sivir', 47)","('Aphelios', 56)"
